projectid,varname
91880434,1
91881377,2
91884092,5
91885322,2
91888371,2
91890969,2
91893320,4
91901521,3
91902942,7
91912182,1
91912963,1
91921198,1
91921247,1
91921420,1
91921468,1
91922536,1
91926407,1
91928082,13
91935558,1
91938624,3
91945811,1
91958713,1
91962822,3
91970501,17
91978655,1
91981777,29
91982271,10
91985578,5
91989417,8
91995446,2
91996977,25
91996990,1
91997199,1
91998270,1
92008527,1
92009063,1
92017737,4
92018659,19
92030080,2
92030981,1
92031229,2
92031776,2
92032076,45
92033981,1
92034305,1
92049923,1
92055253,1
92062124,1
92064582,3
92077416,1
92087516,3
92092958,30
92093492,3
92100431,1
92108871,1
92114349,2
92115007,2
92115531,2
92118604,6
92120448,2
92121723,1
92121898,4
92122528,39
92123879,13
92124930,4
92125384,3
92132459,2
92133259,42
92133770,187
92146383,122
92148077,1
92148150,12
92152393,3
92156591,2
92160716,5
92171396,2
92174960,5
92182635,97
92186378,1
92187022,2
92187913,2
92189923,10
92191424,13
92205187,32
92206207,7
92208582,1
92210238,1
92213356,2
92222273,6
92226080,2
92227656,1
92228062,1
92233952,1
92236318,1
92242522,3
92246630,1
92250245,1
92256629,2
92261328,3
92281692,1
92287981,2
92289489,8
92291186,9
92295408,2
92295840,2
92298105,3
92300733,3
92301215,1
92302031,2
92304362,1
92307077,3
92318471,1
92324367,3
92327287,5
92327742,17
92335050,3
92337694,2
92338248,36
92342886,4
92345829,1
92346647,3
92350526,4
92351480,1
92353342,5
92362246,2
92369429,1
92372609,3
92378072,1
92378662,1
92384552,16
92393991,3
92396282,3
92398538,1
92399275,11
92399864,74
92402520,30
92407288,1
92411678,3
92416587,16
92419934,1
92421557,1
92425241,5
92430273,1
92438385,3
92439708,2
92442983,1
92444125,2
92446445,2
92453403,3
92453409,1
92453659,1
92453915,1
92460442,2
92479360,8
92480213,1
92480960,2
92490787,10
92496015,5
92497120,5
92508175,2
92508266,1
92523666,6
92525000,1
92528288,2
92533022,2
92533263,2
92539821,1
92539848,1
92542260,7
92542397,3
92548399,1
92556118,1
92562344,6
92572675,1
92572859,2
92573137,1
92574421,3
92582339,1
92587006,2
92589277,5
92594067,2
92599499,3
92600233,2
92602358,1
92603290,3
92609326,4
92611027,2
92612478,1
92614887,272
92615663,1
92617428,179
92622258,2
92622322,2
92627077,2
92629482,1
92645498,11
92645629,1
92648002,2
92653724,2
92656011,1
92662464,2
92665608,1
92667111,2
92670942,110
92673588,1
92674465,6
92676742,66
92680864,1
92687946,40
92693265,1
92696402,1
92698262,2
92699188,1
92708332,1
92726200,2
92736526,2
92739088,1
92739241,2
92741703,1
92743134,8
92744486,1
92744697,2
92747412,1
92756802,2
92757345,2
92758890,7
92761678,6
92763208,2
92767576,10
92768355,1
92769518,3
92770654,1
92772279,2
92772565,5
92775623,1
92796483,2
92799216,10
92800853,2
92802194,2
92802955,15
92803791,10
92804543,1
92805525,1
92806419,1
92817302,12
92824316,4
92824903,1
92825310,15
92826385,2
92827283,1
92830163,4
92830662,1
92835948,4
92836146,4
92836554,2
92837828,1
92839280,24
92839353,7
92839464,2
92845694,3
92849601,3
92850311,13
92853010,50
92860679,4
92862308,14
92871238,1
92871909,15
92874881,1
92877866,10
92881958,1
